year elong kind
0.13616 18.12344 1
0.25445 27.81957 -1
0.45401 24.51566 1
0.58408 19.46674 -1
0.77868 25.16244 1
0.88699 19.62180 -1
1.09037 18.31569 1
1.20541 27.63054 -1
1.40291 22.91821 1
1.53539 20.70082 -1
1.73009 26.26059 1
1.84083 18.76686 -1
2.04440 18.81005 1
2.15656 26.89571 -1
2.35252 21.38610 1
2.48545 22.23333 -1
2.68152 27.05177 1
2.79522 18.18601 -1
2.99801 19.58337 1
3.10765 25.74802 -1
3.30338 20.09141 1
3.43461 23.92799 -1
3.63284 27.41872 1
3.74984 17.89316 -1
3.95103 20.59920 1
4.05864 24.35154 -1
4.25556 19.11183 1
4.38356 25.55971 -1
4.58377 27.26992 1
4.70435 17.90373 -1
4.90341 21.80278 1
5.00978 22.87535 -1
5.20877 18.46744 1
5.33292 26.86860 -1
5.53404 26.56753 1
5.65839 18.23748 -1
5.85524 23.11706 1
5.96147 21.46633 -1
6.16264 18.15558 1
6.28298 27.64986 -1
6.48348 25.36718 1
6.61160 18.91570 -1
6.80674 24.44194 1
6.91399 20.22930 -1
7.11682 18.16722 1
7.23368 27.81237 -1
7.43238 23.84299 1
7.56367 19.95051 -1
7.75814 25.65919 1
7.86740 19.22536 -1
8.07098 18.49022 1
8.18476 27.37787 -1
8.38148 22.24588 1
8.51442 21.32230 -1
8.70956 26.64195 1
8.82151 18.48521 -1
9.02486 19.10678 1
9.13590 26.44863 -1
9.33158 20.79975 1
9.46403 22.94616 -1
9.66097 27.26592 1
9.77604 18.02528 -1
9.97824 19.98871 1
