days elong signed k diam dist
0.0000 3.63663 -3.63663 0.007319 10.7381 0.626524
0.1931 3.64541 -3.64541 0.007311 10.7565 0.625452
0.3863 3.69400 -3.69400 0.007463 10.7737 0.624456
0.5794 3.78099 -3.78099 0.007775 10.7896 0.623534
0.7725 3.90387 -3.90387 0.008243 10.8043 0.622687
0.9657 4.05938 -4.05938 0.008864 10.8177 0.621914
1.1588 4.24387 -4.24387 0.009638 10.8299 0.621214
1.3519 4.45362 -4.45362 0.010560 10.8409 0.620586
1.5451 4.68508 -4.68508 0.011629 10.8506 0.620031
1.7382 4.93499 -4.93499 0.012840 10.8590 0.619547
1.9313 5.20046 -5.20046 0.014193 10.8663 0.619134
2.1245 5.47897 -5.47897 0.015682 10.8723 0.618791
2.3176 5.76833 -5.76833 0.017306 10.8771 0.618517
2.5107 6.06669 -6.06669 0.019062 10.8807 0.618312
2.7039 6.37246 -6.37246 0.020945 10.8832 0.618175
2.8970 6.68428 -6.68428 0.022954 10.8844 0.618105
3.0901 7.00101 -7.00101 0.025084 10.8845 0.618101
3.2833 7.32164 -7.32164 0.027332 10.8834 0.618162
3.4764 7.64532 -7.64532 0.029696 10.8812 0.618289
3.6695 7.97131 -7.97131 0.032171 10.8778 0.618478
3.8627 8.29898 -8.29898 0.034754 10.8734 0.618731
4.0558 8.62775 -8.62775 0.037442 10.8678 0.619046
4.2489 8.95714 -8.95714 0.040232 10.8612 0.619422
4.4421 9.28670 -9.28670 0.043120 10.8536 0.619858
4.6352 9.61606 -9.61606 0.046102 10.8449 0.620354
4.8283 9.94487 -9.94487 0.049176 10.8353 0.620908
5.0215 10.27282 -10.27282 0.052337 10.8246 0.621519
5.2146 10.59963 -10.59963 0.055583 10.8130 0.622187
5.4077 10.92505 -10.92505 0.058910 10.8004 0.622911
5.6009 11.24885 -11.24885 0.062315 10.7869 0.623689
5.7940 11.57084 -11.57084 0.065795 10.7726 0.624522
5.9871 11.89081 -11.89081 0.069345 10.7573 0.625407
6.1803 12.20861 -12.20861 0.072964 10.7412 0.626344
6.3734 12.52408 -12.52408 0.076647 10.7243 0.627332
6.5665 12.83707 -12.83707 0.080392 10.7066 0.628370
6.7597 13.14746 -13.14746 0.084195 10.6881 0.629457
6.9528 13.45512 -13.45512 0.088054 10.6688 0.630592
7.1459 13.75995 -13.75995 0.091966 10.6489 0.631775
7.3391 14.06185 -14.06185 0.095927 10.6282 0.633003
7.5322 14.36073 -14.36073 0.099935 10.6069 0.634277
7.7253 14.65650 -14.65650 0.103987 10.5849 0.635596
7.9185 14.94910 -14.94910 0.108079 10.5622 0.636958
8.1116 15.23844 -15.23844 0.112211 10.5390 0.638363
8.3047 15.52447 -15.52447 0.116378 10.5152 0.639809
8.4979 15.80714 -15.80714 0.120578 10.4908 0.641297
8.6910 16.08639 -16.08639 0.124809 10.4658 0.642824
8.8841 16.36217 -16.36217 0.129068 10.4404 0.644390
9.0773 16.63445 -16.63445 0.133353 10.4145 0.645995
9.2704 16.90319 -16.90319 0.137662 10.3881 0.647637
9.4635 17.16836 -17.16836 0.141993 10.3612 0.649315
9.6567 17.42993 -17.42993 0.146342 10.3339 0.651029
9.8498 17.68788 -17.68788 0.150709 10.3062 0.652778
10.0429 17.94218 -17.94218 0.155090 10.2782 0.654561
10.2361 18.19283 -18.19283 0.159485 10.2497 0.656377
10.4292 18.43980 -18.43980 0.163891 10.2209 0.658226
10.6223 18.68310 -18.68310 0.168307 10.1918 0.660106
10.8155 18.92270 -18.92270 0.172730 10.1624 0.662017
11.0086 19.15861 -19.15861 0.177160 10.1327 0.663958
11.2017 19.39082 -19.39082 0.181593 10.1027 0.665928
11.3949 19.61934 -19.61934 0.186029 10.0725 0.667927
11.5880 19.84417 -19.84417 0.190467 10.0420 0.669954
11.7811 20.06531 -20.06531 0.194905 10.0113 0.672008
11.9743 20.28277 -20.28277 0.199340 9.9804 0.674089
12.1674 20.49655 -20.49655 0.203773 9.9493 0.676195
12.3605 20.70668 -20.70668 0.208202 9.9181 0.678326
12.5537 20.91315 -20.91315 0.212626 9.8867 0.680482
12.7468 21.11600 -21.11600 0.217042 9.8551 0.682661
12.9399 21.31522 -21.31522 0.221452 9.8234 0.684864
13.1331 21.51084 -21.51084 0.225852 9.7916 0.687089
13.3262 21.70288 -21.70288 0.230243 9.7597 0.689336
13.5193 21.89135 -21.89135 0.234623 9.7277 0.691604
13.7125 22.07627 -22.07627 0.238992 9.6956 0.693893
13.9056 22.25768 -22.25768 0.243348 9.6634 0.696202
14.0987 22.43558 -22.43558 0.247691 9.6312 0.698530
14.2919 22.61000 -22.61000 0.252020 9.5990 0.700878
14.4850 22.78097 -22.78097 0.256334 9.5667 0.703244
14.6781 22.94851 -22.94851 0.260633 9.5343 0.705627
14.8713 23.11264 -23.11264 0.264916 9.5020 0.708028
15.0644 23.27340 -23.27340 0.269182 9.4697 0.710446
15.2575 23.43081 -23.43081 0.273431 9.4373 0.712880
15.4507 23.58489 -23.58489 0.277663 9.4050 0.715330
15.6438 23.73568 -23.73568 0.281876 9.3727 0.717795
15.8369 23.88319 -23.88319 0.286070 9.3404 0.720275
16.0301 24.02747 -24.02747 0.290245 9.3082 0.722770
16.2232 24.16853 -24.16853 0.294401 9.2760 0.725279
16.4163 24.30641 -24.30641 0.298537 9.2439 0.727801
16.6095 24.44114 -24.44114 0.302653 9.2118 0.730336
16.8026 24.57274 -24.57274 0.306748 9.1798 0.732884
16.9957 24.70125 -24.70125 0.310822 9.1478 0.735444
17.1889 24.82669 -24.82669 0.314876 9.1159 0.738016
17.3820 24.94909 -24.94909 0.318908 9.0841 0.740599
17.5751 25.06849 -25.06849 0.322918 9.0524 0.743194
17.7683 25.18491 -25.18491 0.326908 9.0208 0.745799
17.9614 25.29838 -25.29838 0.330875 8.9893 0.748415
18.1545 25.40894 -25.40894 0.334820 8.9578 0.751040
18.3477 25.51661 -25.51661 0.338743 8.9265 0.753676
18.5408 25.62142 -25.62142 0.342645 8.8953 0.756320
18.7339 25.72340 -25.72340 0.346524 8.8642 0.758974
18.9271 25.82258 -25.82258 0.350380 8.8332 0.761636
19.1202 25.91899 -25.91899 0.354215 8.8023 0.764307
19.3133 26.01266 -26.01266 0.358027 8.7716 0.766986
19.5065 26.10361 -26.10361 0.361816 8.7410 0.769672
19.6996 26.19189 -26.19189 0.365584 8.7105 0.772366
19.8927 26.27750 -26.27750 0.369329 8.6801 0.775067
20.0859 26.36049 -26.36049 0.373051 8.6499 0.777775
20.2790 26.44088 -26.44088 0.376752 8.6198 0.780490
20.4721 26.51870 -26.51870 0.380430 8.5899 0.783211
20.6653 26.59398 -26.59398 0.384086 8.5601 0.785938
20.8584 26.66674 -26.66674 0.387721 8.5304 0.788671
21.0515 26.73701 -26.73701 0.391333 8.5009 0.791410
21.2447 26.80482 -26.80482 0.394923 8.4715 0.794154
21.4378 26.87019 -26.87019 0.398492 8.4423 0.796903
21.6309 26.93316 -26.93316 0.402039 8.4132 0.799657
21.8241 26.99374 -26.99374 0.405565 8.3843 0.802416
22.0172 27.05196 -27.05196 0.409069 8.3555 0.805180
22.2103 27.10785 -27.10785 0.412552 8.3269 0.807947
22.4035 27.16143 -27.16143 0.416014 8.2984 0.810719
22.5966 27.21273 -27.21273 0.419455 8.2701 0.813495
22.7897 27.26177 -27.26177 0.422876 8.2419 0.816275
22.9829 27.30858 -27.30858 0.426275 8.2139 0.819058
23.1760 27.35318 -27.35318 0.429655 8.1861 0.821844
23.3691 27.39559 -27.39559 0.433014 8.1584 0.824634
23.5623 27.43584 -27.43584 0.436354 8.1309 0.827426
23.7554 27.47394 -27.47394 0.439673 8.1035 0.830222
23.9485 27.50993 -27.50993 0.442973 8.0763 0.833020
24.1417 27.54383 -27.54383 0.446254 8.0492 0.835820
24.3348 27.57565 -27.57565 0.449515 8.0223 0.838623
24.5279 27.60542 -27.60542 0.452757 7.9956 0.841429
24.7211 27.63316 -27.63316 0.455981 7.9690 0.844236
24.9142 27.65889 -27.65889 0.459186 7.9425 0.847045
25.1073 27.68263 -27.68263 0.462373 7.9163 0.849856
25.3005 27.70440 -27.70440 0.465541 7.8902 0.852669
25.4936 27.72423 -27.72423 0.468692 7.8642 0.855483
25.6867 27.74212 -27.74212 0.471825 7.8384 0.858299
25.8799 27.75811 -27.75811 0.474941 7.8128 0.861116
26.0730 27.77220 -27.77220 0.478039 7.7873 0.863934
26.2661 27.78443 -27.78443 0.481121 7.7619 0.866753
26.4593 27.79480 -27.79480 0.484185 7.7368 0.869574
26.6524 27.80334 -27.80334 0.487234 7.7118 0.872395
26.8455 27.81006 -27.81006 0.490265 7.6869 0.875216
27.0387 27.81498 -27.81498 0.493281 7.6622 0.878039
27.2318 27.81812 -27.81812 0.496281 7.6376 0.880861
27.4249 27.81949 -27.81949 0.499266 7.6132 0.883685
27.6181 27.81912 -27.81912 0.502235 7.5890 0.886508
27.8112 27.81702 -27.81702 0.505190 7.5649 0.889332
28.0043 27.81320 -27.81320 0.508129 7.5409 0.892156
28.1975 27.80768 -27.80768 0.511054 7.5171 0.894980
28.3906 27.80047 -27.80047 0.513964 7.4935 0.897804
28.5837 27.79160 -27.79160 0.516861 7.4700 0.900628
28.7769 27.78107 -27.78107 0.519743 7.4467 0.903451
28.9700 27.76891 -27.76891 0.522612 7.4235 0.906274
29.1631 27.75512 -27.75512 0.525468 7.4004 0.909097
29.3563 27.73972 -27.73972 0.528310 7.3775 0.911920
29.5494 27.72272 -27.72272 0.531140 7.3547 0.914742
29.7425 27.70414 -27.70414 0.533957 7.3321 0.917563
29.9357 27.68399 -27.68399 0.536762 7.3097 0.920384
30.1288 27.66228 -27.66228 0.539554 7.2873 0.923204
30.3219 27.63903 -27.63903 0.542335 7.2651 0.926023
30.5151 27.61425 -27.61425 0.545104 7.2431 0.928841
30.7082 27.58796 -27.58796 0.547861 7.2212 0.931658
30.9013 27.56015 -27.56015 0.550608 7.1994 0.934475
31.0945 27.53085 -27.53085 0.553343 7.1778 0.937290
31.2876 27.50007 -27.50007 0.556068 7.1563 0.940104
31.4807 27.46782 -27.46782 0.558782 7.1350 0.942917
31.6739 27.43410 -27.43410 0.561487 7.1138 0.945729
31.8670 27.39894 -27.39894 0.564181 7.0927 0.948539
32.0601 27.36234 -27.36234 0.566865 7.0717 0.951348
32.2533 27.32431 -27.32431 0.569540 7.0509 0.954155
32.4464 27.28486 -27.28486 0.572206 7.0303 0.956962
32.6395 27.24401 -27.24401 0.574863 7.0097 0.959766
32.8327 27.20176 -27.20176 0.577511 6.9893 0.962569
33.0258 27.15812 -27.15812 0.580151 6.9690 0.965370
33.2189 27.11310 -27.11310 0.582782 6.9489 0.968170
33.4121 27.06671 -27.06671 0.585405 6.9289 0.970968
33.6052 27.01896 -27.01896 0.588020 6.9090 0.973764
33.7983 26.96986 -26.96986 0.590628 6.8892 0.976558
33.9915 26.91942 -26.91942 0.593229 6.8695 0.979350
34.1846 26.86764 -26.86764 0.595822 6.8500 0.982140
34.3777 26.81454 -26.81454 0.598408 6.8306 0.984929
34.5709 26.76011 -26.76011 0.600988 6.8114 0.987715
34.7640 26.70438 -26.70438 0.603561 6.7922 0.990499
34.9571 26.64734 -26.64734 0.606128 6.7732 0.993281
35.1503 26.58901 -26.58901 0.608689 6.7543 0.996061
35.3434 26.52939 -26.52939 0.611244 6.7355 0.998838
35.5365 26.46849 -26.46849 0.613794 6.7169 1.001614
35.7297 26.40631 -26.40631 0.616339 6.6983 1.004386
35.9228 26.34287 -26.34287 0.618878 6.6799 1.007157
36.1159 26.27816 -26.27816 0.621412 6.6616 1.009925
36.3091 26.21220 -26.21220 0.623942 6.6434 1.012690
36.5022 26.14500 -26.14500 0.626467 6.6253 1.015453
36.6953 26.07655 -26.07655 0.628988 6.6074 1.018213
