days elong signed k diam dist
0.0000 6.52131 -6.52131 0.006121 61.1453 0.272930
0.9732 6.53934 -6.53934 0.006154 61.1730 0.272806
1.9464 6.91210 -6.91210 0.006875 61.1385 0.272960
2.9196 7.58520 -7.58520 0.008282 61.0421 0.273391
3.8928 8.48275 -8.48275 0.010363 60.8847 0.274098
4.8660 9.53513 -9.53513 0.013102 60.6678 0.275078
5.8392 10.68905 -10.68905 0.016480 60.3933 0.276329
6.8124 11.90658 -11.90658 0.020471 60.0636 0.277845
7.7856 13.16123 -13.16123 0.025046 59.6816 0.279624
8.7588 14.43426 -14.43426 0.030173 59.2504 0.281658
9.7320 15.71219 -15.71219 0.035815 58.7735 0.283944
10.7052 16.98506 -16.98506 0.041936 58.2544 0.286474
11.6784 18.24541 -18.24541 0.048497 57.6970 0.289242
12.6516 19.48748 -19.48748 0.055459 57.1051 0.292240
13.6248 20.70686 -20.70686 0.062783 56.4824 0.295461
14.5980 21.90010 -21.90010 0.070428 55.8329 0.298899
15.5712 23.06454 -23.06454 0.078357 55.1603 0.302543
16.5444 24.19815 -24.19815 0.086533 54.4681 0.306388
17.5176 25.29938 -25.29938 0.094921 53.7597 0.310426
18.4908 26.36715 -26.36715 0.103486 53.0384 0.314647
19.4640 27.40069 -27.40069 0.112199 52.3073 0.319045
20.4372 28.39956 -28.39956 0.121028 51.5691 0.323612
21.4104 29.36355 -29.36355 0.129947 50.8264 0.328341
22.3836 30.29267 -30.29267 0.138930 50.0817 0.333223
23.3568 31.18712 -31.18712 0.147956 49.3371 0.338252
24.3300 32.04723 -32.04723 0.157003 48.5944 0.343422
25.3032 32.87347 -32.87347 0.166054 47.8556 0.348724
26.2764 33.66642 -33.66642 0.175090 47.1220 0.354153
27.2496 34.42672 -34.42672 0.184098 46.3950 0.359702
28.2228 35.15508 -35.15508 0.193064 45.6758 0.365366
29.1960 35.85228 -35.85228 0.201977 44.9654 0.371138
30.1692 36.51913 -36.51913 0.210828 44.2647 0.377013
31.1424 37.15647 -37.15647 0.219607 43.5745 0.382986
32.1156 37.76514 -37.76514 0.228308 42.8952 0.389051
33.0888 38.34602 -38.34602 0.236924 42.2274 0.395203
34.0620 38.89998 -38.89998 0.245450 41.5714 0.401439
35.0352 39.42788 -39.42788 0.253883 40.9277 0.407753
36.0084 39.93058 -39.93058 0.262218 40.2964 0.414141
36.9816 40.40895 -40.40895 0.270453 39.6776 0.420600
37.9548 40.86381 -40.86381 0.278587 39.0715 0.427124
38.9280 41.29598 -41.29598 0.286617 38.4780 0.433712
39.9012 41.70628 -41.70628 0.294543 37.8972 0.440359
40.8744 42.09547 -42.09547 0.302364 37.3290 0.447062
41.8476 42.46432 -42.46432 0.310081 36.7734 0.453817
42.8208 42.81357 -42.81357 0.317693 36.2301 0.460622
43.7940 43.14393 -43.14393 0.325202 35.6990 0.467474
44.7672 43.45610 -43.45610 0.332608 35.1801 0.474370
45.7404 43.75075 -43.75075 0.339911 34.6730 0.481308
46.7136 44.02851 -44.02851 0.347114 34.1776 0.488285
47.6868 44.29002 -44.29002 0.354217 33.6936 0.495298
48.6600 44.53586 -44.53586 0.361222 33.2209 0.502346
49.6332 44.76663 -44.76663 0.368130 32.7592 0.509426
50.6064 44.98287 -44.98287 0.374943 32.3083 0.516536
51.5796 45.18512 -45.18512 0.381664 31.8679 0.523674
52.5528 45.37390 -45.37390 0.388292 31.4378 0.530839
53.5260 45.54969 -45.54969 0.394831 31.0177 0.538028
54.4992 45.71296 -45.71296 0.401282 30.6074 0.545240
55.4724 45.86419 -45.86419 0.407647 30.2067 0.552473
56.4456 46.00379 -46.00379 0.413927 29.8153 0.559725
57.4188 46.13219 -46.13219 0.420124 29.4330 0.566996
58.3920 46.24980 -46.24980 0.426241 29.0595 0.574284
59.3652 46.35699 -46.35699 0.432278 28.6946 0.581586
60.3384 46.45414 -46.45414 0.438238 28.3381 0.588903
61.3116 46.54161 -46.54161 0.444123 27.9897 0.596232
62.2848 46.61973 -46.61973 0.449933 27.6493 0.603573
63.2580 46.68884 -46.68884 0.455671 27.3166 0.610924
64.2312 46.74924 -46.74924 0.461338 26.9915 0.618284
65.2044 46.80124 -46.80124 0.466936 26.6736 0.625652
66.1776 46.84513 -46.84513 0.472466 26.3628 0.633027
67.1508 46.88119 -46.88119 0.477929 26.0590 0.640409
68.1240 46.90967 -46.90967 0.483329 25.7618 0.647795
69.0972 46.93085 -46.93085 0.488664 25.4712 0.655185
70.0704 46.94496 -46.94496 0.493938 25.1870 0.662579
71.0436 46.95224 -46.95224 0.499152 24.9090 0.669975
72.0168 46.95291 -46.95291 0.504306 24.6369 0.677373
72.9900 46.94721 -46.94721 0.509402 24.3707 0.684771
73.9632 46.93532 -46.93532 0.514441 24.1102 0.692170
74.9364 46.91746 -46.91746 0.519424 23.8553 0.699567
75.9096 46.89382 -46.89382 0.524354 23.6057 0.706964
76.8828 46.86459 -46.86459 0.529230 23.3614 0.714358
77.8560 46.82994 -46.82994 0.534054 23.1221 0.721749
78.8292 46.79004 -46.79004 0.538827 22.8879 0.729137
79.8024 46.74506 -46.74506 0.543549 22.6584 0.736520
80.7756 46.69517 -46.69517 0.548223 22.4337 0.743899
81.7488 46.64051 -46.64051 0.552849 22.2135 0.751273
82.7220 46.58122 -46.58122 0.557427 21.9978 0.758640
83.6952 46.51746 -46.51746 0.561960 21.7864 0.766002
84.6684 46.44936 -46.44936 0.566447 21.5792 0.773356
85.6416 46.37704 -46.37704 0.570889 21.3761 0.780703
86.6148 46.30064 -46.30064 0.575288 21.1770 0.788042
87.5880 46.22028 -46.22028 0.579644 20.9818 0.795372
88.5612 46.13608 -46.13608 0.583958 20.7905 0.802694
89.5344 46.04814 -46.04814 0.588231 20.6028 0.810006
90.5076 45.95658 -45.95658 0.592463 20.4187 0.817309
91.4808 45.86150 -45.86150 0.596656 20.2381 0.824601
92.4540 45.76301 -45.76301 0.600809 20.0610 0.831883
93.4272 45.66119 -45.66119 0.604924 19.8872 0.839154
94.4004 45.55615 -45.55615 0.609002 19.7166 0.846413
95.3736 45.44798 -45.44798 0.613042 19.5492 0.853660
96.3468 45.33675 -45.33675 0.617046 19.3849 0.860896
97.3200 45.22257 -45.22257 0.621013 19.2236 0.868118
98.2932 45.10550 -45.10550 0.624946 19.0653 0.875328
99.2664 44.98563 -44.98563 0.628844 18.9098 0.882525
100.2396 44.86303 -44.86303 0.632708 18.7571 0.889708
101.2128 44.73777 -44.73777 0.636538 18.6072 0.896878
102.1860 44.60993 -44.60993 0.640335 18.4599 0.904033
103.1592 44.47958 -44.47958 0.644099 18.3153 0.911174
104.1324 44.34677 -44.34677 0.647832 18.1731 0.918300
105.1056 44.21157 -44.21157 0.651533 18.0335 0.925411
106.0788 44.07405 -44.07405 0.655203 17.8963 0.932507
107.0520 43.93426 -43.93426 0.658842 17.7614 0.939587
108.0252 43.79226 -43.79226 0.662451 17.6289 0.946652
108.9984 43.64810 -43.64810 0.666030 17.4986 0.953700
109.9716 43.50184 -43.50184 0.669581 17.3705 0.960732
110.9448 43.35352 -43.35352 0.673102 17.2446 0.967747
111.9180 43.20320 -43.20320 0.676595 17.1208 0.974746
112.8912 43.05093 -43.05093 0.680060 16.9990 0.981727
113.8644 42.89675 -42.89675 0.683497 16.8793 0.988691
114.8376 42.74070 -42.74070 0.686907 16.7615 0.995638
115.8108 42.58283 -42.58283 0.690290 16.6457 1.002567
116.7840 42.42318 -42.42318 0.693646 16.5317 1.009477
117.7572 42.26179 -42.26179 0.696977 16.4196 1.016370
118.7304 42.09869 -42.09869 0.700282 16.3093 1.023244
119.7036 41.93393 -41.93393 0.703561 16.2007 1.030100
120.6768 41.76754 -41.76754 0.706815 16.0939 1.036937
121.6500 41.59956 -41.59956 0.710044 15.9888 1.043755
122.6232 41.43002 -41.43002 0.713249 15.8853 1.050553
123.5964 41.25894 -41.25894 0.716430 15.7835 1.057332
124.5696 41.08637 -41.08637 0.719587 15.6832 1.064092
125.5428 40.91234 -40.91234 0.722720 15.5845 1.070832
126.5160 40.73686 -40.73686 0.725831 15.4873 1.077552
127.4892 40.55997 -40.55997 0.728918 15.3916 1.084251
128.4624 40.38170 -40.38170 0.731983 15.2974 1.090930
129.4356 40.20208 -40.20208 0.735025 15.2046 1.097589
130.4088 40.02112 -40.02112 0.738045 15.1132 1.104227
131.3820 39.83886 -39.83886 0.741044 15.0232 1.110844
132.3552 39.65531 -39.65531 0.744020 14.9345 1.117440
133.3284 39.47050 -39.47050 0.746976 14.8471 1.124015
134.3016 39.28446 -39.28446 0.749910 14.7611 1.130568
135.2748 39.09719 -39.09719 0.752824 14.6763 1.137099
136.2480 38.90873 -38.90873 0.755717 14.5927 1.143609
137.2212 38.71910 -38.71910 0.758590 14.5104 1.150096
138.1944 38.52830 -38.52830 0.761442 14.4293 1.156562
139.1676 38.33637 -38.33637 0.764275 14.3494 1.163005
140.1408 38.14331 -38.14331 0.767088 14.2706 1.169425
141.1140 37.94915 -37.94915 0.769881 14.1929 1.175822
142.0872 37.75390 -37.75390 0.772656 14.1164 1.182197
143.0604 37.55758 -37.55758 0.775411 14.0410 1.188548
144.0336 37.36021 -37.36021 0.778148 13.9666 1.194876
145.0068 37.16179 -37.16179 0.780865 13.8933 1.201181
145.9800 36.96235 -36.96235 0.783565 13.8210 1.207462
146.9532 36.76190 -36.76190 0.786246 13.7498 1.213719
147.9264 36.56044 -36.56044 0.788909 13.6795 1.219951
148.8996 36.35801 -36.35801 0.791554 13.6103 1.226160
149.8728 36.15459 -36.15459 0.794181 13.5420 1.232343
150.8460 35.95022 -35.95022 0.796790 13.4746 1.238503
151.8192 35.74490 -35.74490 0.799383 13.4082 1.244637
152.7924 35.53864 -35.53864 0.801958 13.3427 1.250746
153.7656 35.33146 -35.33146 0.804515 13.2782 1.256829
154.7388 35.12336 -35.12336 0.807056 13.2145 1.262888
155.7120 34.91436 -34.91436 0.809580 13.1516 1.268920
156.6852 34.70447 -34.70447 0.812087 13.0897 1.274926
157.6584 34.49368 -34.49368 0.814578 13.0286 1.280906
158.6316 34.28203 -34.28203 0.817052 12.9683 1.286860
159.6048 34.06951 -34.06951 0.819510 12.9088 1.292787
160.5780 33.85613 -33.85613 0.821952 12.8502 1.298687
161.5512 33.64191 -33.64191 0.824378 12.7923 1.304560
162.5244 33.42684 -33.42684 0.826788 12.7353 1.310406
163.4976 33.21095 -33.21095 0.829181 12.6790 1.316224
164.4708 32.99423 -32.99423 0.831560 12.6235 1.322014
165.4440 32.77670 -32.77670 0.833922 12.5687 1.327776
166.4172 32.55836 -32.55836 0.836269 12.5146 1.333510
167.3904 32.33922 -32.33922 0.838600 12.4613 1.339215
168.3636 32.11929 -32.11929 0.840916 12.4087 1.344891
169.3368 31.89858 -31.89858 0.843217 12.3568 1.350538
170.3100 31.67708 -31.67708 0.845502 12.3056 1.356156
171.2832 31.45482 -31.45482 0.847772 12.2552 1.361745
172.2564 31.23179 -31.23179 0.850027 12.2053 1.367303
173.2296 31.00801 -31.00801 0.852267 12.1562 1.372831
174.2028 30.78347 -30.78347 0.854492 12.1077 1.378329
175.1760 30.55819 -30.55819 0.856702 12.0599 1.383796
176.1492 30.33217 -30.33217 0.858897 12.0127 1.389233
177.1224 30.10542 -30.10542 0.861077 11.9661 1.394638
178.0956 29.87794 -29.87794 0.863243 11.9202 1.400011
179.0688 29.64975 -29.64975 0.865393 11.8749 1.405353
180.0420 29.42084 -29.42084 0.867529 11.8302 1.410663
181.0152 29.19122 -29.19122 0.869650 11.7861 1.415940
181.9884 28.96090 -28.96090 0.871756 11.7426 1.421185
182.9616 28.72988 -28.72988 0.873848 11.6997 1.426396
183.9348 28.49817 -28.49817 0.875925 11.6574 1.431575
184.9080 28.26578 -28.26578 0.877987 11.6156 1.436720
185.8812 28.03271 -28.03271 0.880035 11.5744 1.441831
186.8544 27.79896 -27.79896 0.882068 11.5338 1.446908
187.8276 27.56455 -27.56455 0.884086 11.4938 1.451950
188.8008 27.32947 -27.32947 0.886090 11.4543 1.456958
189.7740 27.09374 -27.09374 0.888078 11.4153 1.461930
190.7472 26.85735 -26.85735 0.890053 11.3769 1.466867
191.7204 26.62032 -26.62032 0.892012 11.3390 1.471769
192.6936 26.38265 -26.38265 0.893956 11.3016 1.476634
193.6668 26.14435 -26.14435 0.895886 11.2648 1.481463
194.6400 25.90542 -25.90542 0.897801 11.2285 1.486256
195.6132 25.66586 -25.66586 0.899701 11.1927 1.491011
196.5864 25.42569 -25.42569 0.901587 11.1574 1.495729
197.5596 25.18490 -25.18490 0.903457 11.1226 1.500410
198.5328 24.94351 -24.94351 0.905312 11.0882 1.505052
199.5060 24.70152 -24.70152 0.907152 11.0544 1.509656
200.4792 24.45893 -24.45893 0.908978 11.0211 1.514222
201.4524 24.21575 -24.21575 0.910788 10.9882 1.518749
202.4256 23.97200 -23.97200 0.912582 10.9559 1.523236
203.3988 23.72766 -23.72766 0.914362 10.9240 1.527684
204.3720 23.48275 -23.48275 0.916126 10.8925 1.532092
205.3452 23.23728 -23.23728 0.917875 10.8616 1.536460
206.3184 22.99125 -22.99125 0.919608 10.8311 1.540787
207.2916 22.74466 -22.74466 0.921326 10.8010 1.545073
208.2648 22.49753 -22.49753 0.923028 10.7714 1.549318
209.2380 22.24985 -22.24985 0.924715 10.7423 1.553522
210.2112 22.00165 -22.00165 0.926385 10.7136 1.557683
211.1844 21.75291 -21.75291 0.928040 10.6853 1.561802
212.1576 21.50365 -21.50365 0.929679 10.6575 1.565879
213.1308 21.25388 -21.25388 0.931301 10.6301 1.569913
214.1040 21.00360 -21.00360 0.932908 10.6032 1.573904
215.0772 20.75282 -20.75282 0.934498 10.5767 1.577851
216.0504 20.50154 -20.50154 0.936072 10.5506 1.581755
217.0236 20.24977 -20.24977 0.937630 10.5249 1.585614
217.9968 19.99752 -19.99752 0.939170 10.4996 1.589429
218.9700 19.74480 -19.74480 0.940695 10.4748 1.593199
219.9432 19.49161 -19.49161 0.942202 10.4503 1.596924
220.9164 19.23796 -19.23796 0.943693 10.4263 1.600604
221.8896 18.98385 -18.98385 0.945166 10.4027 1.604238
222.8628 18.72930 -18.72930 0.946623 10.3795 1.607825
223.8360 18.47432 -18.47432 0.948062 10.3567 1.611367
224.8092 18.21890 -18.21890 0.949484 10.3342 1.614862
225.7824 17.96306 -17.96306 0.950889 10.3122 1.618310
226.7556 17.70681 -17.70681 0.952276 10.2906 1.621711
227.7288 17.45015 -17.45015 0.953645 10.2694 1.625064
228.7020 17.19309 -17.19309 0.954996 10.2485 1.628370
229.6752 16.93563 -16.93563 0.956330 10.2281 1.631627
230.6484 16.67780 -16.67780 0.957645 10.2080 1.634836
231.6216 16.41960 -16.41960 0.958943 10.1883 1.637997
232.5948 16.16102 -16.16102 0.960222 10.1690 1.641108
233.5680 15.90209 -15.90209 0.961483 10.1500 1.644171
234.5412 15.64282 -15.64282 0.962725 10.1315 1.647184
235.5144 15.38320 -15.38320 0.963949 10.1133 1.650147
236.4876 15.12326 -15.12326 0.965154 10.0954 1.653061
237.4608 14.86300 -14.86300 0.966340 10.0780 1.655924
238.4340 14.60242 -14.60242 0.967507 10.0609 1.658737
239.4072 14.34155 -14.34155 0.968655 10.0442 1.661499
240.3804 14.08038 -14.08038 0.969783 10.0278 1.664210
241.3536 13.81894 -13.81894 0.970893 10.0118 1.666870
242.3268 13.55722 -13.55722 0.971983 9.9962 1.669479
243.3000 13.29525 -13.29525 0.973053 9.9809 1.672036
244.2732 13.03302 -13.03302 0.974104 9.9659 1.674541
245.2464 12.77056 -12.77056 0.975134 9.9514 1.676995
246.2196 12.50787 -12.50787 0.976145 9.9371 1.679396
247.1928 12.24497 -12.24497 0.977136 9.9233 1.681745
248.1660 11.98187 -11.98187 0.978107 9.9097 1.684041
249.1392 11.71857 -11.71857 0.979058 9.8965 1.686285
250.1124 11.45510 -11.45510 0.979988 9.8837 1.688475
251.0856 11.19147 -11.19147 0.980898 9.8712 1.690613
252.0588 10.92769 -10.92769 0.981787 9.8590 1.692697
253.0320 10.66378 -10.66378 0.982656 9.8472 1.694728
254.0052 10.39974 -10.39974 0.983504 9.8358 1.696706
254.9784 10.13560 -10.13560 0.984331 9.8246 1.698630
255.9516 9.87138 -9.87138 0.985138 9.8138 1.700500
